item_id,title,budget,genres,origin_country,production_companies,overview,
11,Seven (Se7en) (1995),11000000,"Adventure, Action",United States of America,"Lucasfilm Ltd., 20th Century Fox",Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg
12,"Usual Suspects, The (1995)",94000000,"Animation, Family",United States of America,Pixar,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",/eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg
13,Mighty Aphrodite (1995),55000000,"Comedy, Drama",United States of America,"Paramount Pictures, The Steve Tisch Company, Wendy Finerman Productions","A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg
14,"Postino, Il (1994)",15000000,Drama,United States of America,"DreamWorks Pictures, Jinks/Cohen Company","Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",/wby9315QzVKdW9BonAefg8jGTTb.jpg
15,Mr. Holland's Opus (1995),839727,"Mystery, Drama",United States of America,"Mercury Productions, RKO Radio Pictures","Newspaper magnate Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",/sav0jxhqiH0bPr2vZFU0Kjt2nZL.jpg
16,French Twist (Gazon maudit) (1995),12500000,"Drama, Crime","Denmark, Finland, France, Germany, Iceland, Netherlands, Norway, Sweden","Zentropa Entertainments, DR, SVT Drama, ARTE, France 3 Cinéma, Blind Spot Pictures, Liberator Productions, Íslenska kvikmyndasamsteypan, Pain Unlimited Filmproduktion, Trust Film Svenska, Cinematograph, What Else?, ARTE France Cinéma, Film i Väst, WDR","Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings.",/9rsivF4sWfmBzrNr4LPu6TNJhXX.jpg
17,From Dusk Till Dawn (1996),0,"Horror, Thriller","Germany, United Kingdom","Constantin Film, Impact Pictures, Isle of Man Film, UK Film Council","In an attempt to pull her family together, Adèlle travels with her young daughter Sarah to Wales to visit her father. The morning after they arrive, Sarah mysteriously vanishes in the ocean. Not long after, a little girl bearing a striking resemblance to their missing daughter reveals that she has retuned from the dead  — and that Sarah has been taken to the Welsh underworld.",/h6gCVAzjFLhzkffv2VZO1RgVCBt.jpg
18,"White Balloon, The (1995)",90000000,"Science Fiction, Action",France,Gaumont,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",/fPtlCO1yQtnoLHOwKtWz7db6RGU.jpg
19,Antonia's Line (1995),5300000,"Drama, Science Fiction",Germany,UFA,"In a futuristic city sharply divided between the rich and the poor, the son of the city's mastermind meets a prophet who predicts the coming of a savior to mediate their differences.",/vZIJxGnjcswPCAa52jhbl01FQkV.jpg
20,Angels and Insects (1995),2500000,"Drama, Romance","Canada, Spain","El Deseo, Milestone Productions",A fatally ill mother with only two months to live creates a list of things she wants to do before she dies without telling her family of her illness.,/pFEtVPW88pWflYV84UFL0h1iJr3.jpg
21,Muppet Treasure Island (1996),50000,Documentary,United States of America,Bruce Brown Films,"Bruce Brown's The Endless Summer is one of the first and most influential surf movies of all time. The film documents American surfers Mike Hynson and Robert August as they travel the world during California’s winter (which, back in 1965 was off-season for surfing) in search of the perfect wave and ultimately, an endless summer.",/5W5uaqQ7NZTwoDMKO4AtdcahHex.jpg
22,Braveheart (1995),140000000,"Adventure, Fantasy",United States of America,"Walt Disney Pictures, Jerry Bruckheimer Films","After Port Royal is attacked and pillaged by a mysterious pirate crew, capturing the governor's daughter Elizabeth Swann in the process, William Turner asks free-willing pirate Jack Sparrow to help him locate the crew's ship—The Black Pearl—so that he can rescue the woman he loves.",/poHwCZeWzJCShH7tOjg8RIoyjcw.jpg
23,Taxi Driver (1976),0,Unknown,Unknown,Unknown,Unknown,Unknown
24,Rumble in the Bronx (1995),30000000,"Action, Crime",United States of America,"Miramax, A Band Apart, Super Cool ManChu","An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg
25,"Birdcage, The (1996)",72000000,"Drama, War","United Kingdom, United States of America","Red Wagon Entertainment, Neal Street Productions","Jarhead is a film about a US Marine Anthony Swofford’s experience in the Gulf War. After putting up with an arduous boot camp, Swofford and his unit are sent to the Persian Gulf where they are eager to fight, but are forced to stay back from the action. Swofford struggles with the possibility of his girlfriend cheating on him, and as his mental state deteriorates, his desire to kill increases.",/4rCzaZy5Qkvxh5xaVpHriXSLTgC.jpg
26,"Brothers McMullen, The (1995)",1400000,Drama,"Israel, Sweden","Lama Films, United King Films","Eyal, an Israeli Mossad agent, is given the mission to track down and kill the very old Alfred Himmelman, an ex-Nazi officer, who might still be alive. Pretending to be a tourist guide, he befriends his grandson Axel, in Israel to visit his sister Pia. The two men set out on a tour of the country, during which Axel challenges Eyal's values.",/mVWFN3RaBFLuJRtRLPebatX9qPq.jpg
27,Bad Boys (1995),1000000,"Drama, Music",United Kingdom,Revolution Films,"Matt, a young glaciologist, soars across the vast, silent, icebound immensities of the South Pole as he recalls his love affair with Lisa. They meet at a mobbed rock concert in a vast music hall - London's Brixton Academy. They are in bed at night's end. Together, over a period of several months, they pursue a mutual sexual passion whose inevitable stages unfold in counterpoint to nine live-concert songs.",/91O7z0vo7MiNWd5xD2BoivwbQsb.jpg
28,Apollo 13 (1995),31500000,"Drama, War",United States of America,"United Artists, American Zoetrope","At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",/gQB8Y5RCMkv2zwzFHbUJX3kAhvA.jpg
29,Batman Forever (1995),0,Unknown,Unknown,Unknown,Unknown,Unknown
30,Belle de jour (1967),0,Unknown,Unknown,Unknown,Unknown,Unknown
31,Crimson Tide (1995),0,Unknown,Unknown,Unknown,Unknown,Unknown
32,Crumb (1994),0,Unknown,Unknown,Unknown,Unknown,Unknown
33,Desperado (1995),14400000,Western,United States of America,"Warner Bros. Pictures, Malpaso Productions","William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.",/54roTwbX9fltg85zjsmrooXAs12.jpg
34,"Doom Generation, The (1995)",0,Unknown,Unknown,Unknown,Unknown,Unknown
35,Free Willy 2: The Adventure Home (1995),75000000,"Animation, Comedy",United States of America,"Gracie Films, 20th Century Fox","After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",/waWXo6lv77EwKxX50MadlXrwtE4.jpg
36,Mad Love (1995),0,Unknown,Unknown,Unknown,Unknown,Unknown
37,Nadja (1994),0,Unknown,Unknown,Unknown,Unknown,Unknown
38,"Net, The (1995)",20000000,"Science Fiction, Drama",United States of America,"Focus Features, Anonymous Content, This is that","Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg
39,Strange Days (1995),0,Unknown,Unknown,Unknown,Unknown,Unknown
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",0,Unknown,Unknown,Unknown,Unknown,Unknown
41,Billy Madison (1995),0,Unknown,Unknown,Unknown,Unknown,Unknown
42,Clerks (1994),0,Unknown,Unknown,Unknown,Unknown,Unknown
43,Disclosure (1994),0,Unknown,Unknown,Unknown,Unknown,Unknown
44,Dolores Claiborne (1994),0,Unknown,Unknown,Unknown,Unknown,Unknown
45,Eat Drink Man Woman (1994),0,Unknown,Unknown,Unknown,Unknown,Unknown
46,Exotica (1994),0,Unknown,Unknown,Unknown,Unknown,Unknown
47,Ed Wood (1994),0,Unknown,Unknown,Unknown,Unknown,Unknown
48,Hoop Dreams (1994),0,Unknown,Unknown,Unknown,Unknown,Unknown
49,I.Q. (1994),0,Unknown,Unknown,Unknown,Unknown,Unknown
50,Star Wars (1977),0,Unknown,Unknown,Unknown,Unknown,Unknown
51,Legends of the Fall (1994),0,Unknown,Unknown,Unknown,Unknown,Unknown
52,"Madness of King George, The (1994)",0,Unknown,Unknown,Unknown,Unknown,Unknown
53,Natural Born Killers (1994),0,Unknown,Unknown,Unknown,Unknown,Unknown
54,Outbreak (1995),0,Unknown,Unknown,Unknown,Unknown,Unknown
55,"Professional, The (1994)",2000000,"Drama, Thriller",Mexico,"Altavista Films, Zeta Film","A fatalistic car crash in Mexico city sets off a chain of events in the lives of three people: a supermodel, a young man wanting to run off with his sister-in-law, and a homeless man. Their lives are catapulted into unforeseen situations instigated by the seemingly inconsequential destiny of a dog.",/mXc2QcFXUTQz2wU7S0zgeG5C3Bg.jpg
56,Pulp Fiction (1994),0,Unknown,Unknown,Unknown,Unknown,Unknown
57,Priest (1994),0,Unknown,Unknown,Unknown,Unknown,Unknown
58,Quiz Show (1994),200000000,"Adventure, Fantasy",United States of America,"Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions",Captain Jack Sparrow works his way out of a blood debt with the ghostly Davy Jones to avoid eternal damnation.,/uXEqmloGyP7UXAiphJUu2v2pcuE.jpg
59,Three Colors: Red (1994),32000000,"Drama, Thriller","Germany, United States of America","New Line Cinema, BenderSpink, Media I! Filmproduktion München & Company",An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.,/A26rcvipOqptVs7i5uRmKicXRxE.jpg
60,Three Colors: Blue (1993),0,Unknown,Unknown,Unknown,Unknown,Unknown
61,Three Colors: White (1994),0,Unknown,Unknown,Unknown,Unknown,Unknown
62,Stargate (1994),12000000,"Science Fiction, Mystery","United Kingdom, United States of America","Stanley Kubrick Productions, Metro-Goldwyn-Mayer","Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg
63,"Santa Clause, The (1994)",29000000,"Science Fiction, Thriller",United States of America,"Universal Pictures, Atlas Entertainment, Classico, Twelve Monkeys Productions","In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg
64,"Shawshank Redemption, The (1994)",0,"Drama, Romance",Spain,"Vía Digital, El Deseo, Atresmedia",Two men share an odd friendship while they care for two women who are both in deep comas.,/p8ilqBhIT5YnKOf6hBPEVPc8uGS.jpg
65,What's Eating Gilbert Grape (1993),41000000,"Drama, Music","Germany, United States of America","Mikona Productions, Imagine Entertainment","For Jimmy Smith, Jr., life is a daily fight just to keep hope alive. Feeding his dreams in Detroit's vibrant music scene, Jimmy wages an extraordinary personal struggle to find his own voice - and earn a place in a world where rhymes rule, legends are born and every moment… is another chance.",/7BmQj8qE1FLuLTf7Xjf9sdIHzoa.jpg
66,While You Were Sleeping (1995),50000000,"Crime, Drama",United States of America,"Castle Rock Entertainment, Malpaso Productions, Columbia Pictures","A master thief coincidentally is robbing a house where a murder—in which the President of the United States is involved—occurs in front of his eyes. He is forced to run, while holding evidence that could convict the President.",/zuYhCHkUTCRYaEVXaCWUmOoppnS.jpg
67,Ace Ventura: Pet Detective (1994),2000000,"Thriller, Crime","France, Germany, Netherlands, Palestinian Territory","Eurimages, Lama Films, Augustus Film, Lama Productions, Lumer Films, Filmstiftung Nordrhein-Westfalen, Razor Film Produktion, Nederlands Fonds voor de Film, ARTE France Cinéma, Hazazah Pictures, Hazazah Film",Two childhood friends are recruited for a suicide bombing in Tel Aviv.,/qWZkYa8VdcDZk8uzRB2PfhpM9IL.jpg
68,"Crow, The (1994)",15000000,"Comedy, Science Fiction","United Kingdom, United States of America",Embassy International Pictures,"Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.",/2w09J0KUnVtJvqPYu8N63XjAyCR.jpg
69,Forrest Gump (1994),28000000,"Drama, Music","Germany, United States of America","Mars Media Beteiligungs, Tree Line Films, Catfish Productions, Fox 2000 Pictures","A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis and Carl Perkins.",/p8lPTjvjOjTfvC1E9pmMwcF9vkn.jpg
70,Four Weddings and a Funeral (1994),30000000,Drama,"Switzerland, United States of America","Lakeshore Entertainment, Malpaso Productions, Epsilon Motion Pictures, ASR Productions, Warner Bros. Pictures","Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.",/jcfEqKdWF1zeyvECPqp3mkWLct2.jpg
71,"Lion King, The (1994)",5000000,"Drama, Comedy","France, United Kingdom, United States of America","StudioCanal, BBC Film, Tiger Aspect, Arts Council of England, Working Title Films, Universal Pictures, WT² Productions","County Durham, England, 1984. The miners' strike has started and the police have started coming up from Bethnal Green, starting a class war with the lower classes suffering. Caught in the middle of the conflict is 11-year old Billy Elliot, who, after leaving his boxing club for the day, stumbles upon a ballet class and finds out that he's naturally talented. He practices with his teacher Mrs. Wilkinson for an upcoming audition in Newcastle-upon Tyne for the royal Ballet school in London.",/nOr5diUZxphmAD3li9aiILyI28F.jpg
72,"Mask, The (1994)",0,Unknown,Unknown,Unknown,Unknown,Unknown
73,Maverick (1994),20000000,Drama,United States of America,"New Line Cinema, Savoy Pictures, The Turman-Morrissey Company","Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",/euypWkaYFOLW3e5rLIcTAjWnhhT.jpg
74,Faster Pussycat! Kill! Kill! (1965),132000000,"Adventure, Thriller",United States of America,"Paramount Pictures, DreamWorks Pictures, Amblin Entertainment, Cruise/Wagner Productions","Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop off his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.",/6Biy7R9LfumYshur3YKhpj56MpB.jpg
75,Brother Minister: The Assassination of Malcolm X (1994),70000000,"Comedy, Fantasy",United States of America,"Warner Bros. Pictures, Tim Burton Productions","A fleet of Martian spacecraft surrounds the world's major cities and all of humanity waits to see if the extraterrestrial visitors have, as they claim, ""come in peace."" U.S. President James Dale receives assurance from science professor Donald Kessler that the Martians' mission is a friendly one. But when a peaceful exchange ends in the total annihilation of the U.S. Congress, military men call for a full-scale nuclear retaliation.",/hll4O5vSAfnZDb6JbnP06GPtz7b.jpg
76,Carlito's Way (1993),2500000,"Drama, Romance","Austria, United States of America","Castle Rock Entertainment, Detour Filmproduction, Filmhaus Films","A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",/kf1Jb1c2JAOqjuzA3H4oDM263uB.jpg
77,"Firm, The (1993)",9000000,"Mystery, Thriller",United States of America,"Newmarket Films, Summit Entertainment, Team Todd, I Remember Productions","Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why.",/nWtySDlffTfwAa0rSfq61o33ZXV.jpg
78,Free Willy (1993),28000000,"Science Fiction, Drama","United States of America, Hong Kong, United Kingdom","Shaw Brothers, The Ladd Company, Warner Bros. Pictures","In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",/63N9uy8nd9j7Eog2axPQ8lbr3Wj.jpg
79,"Fugitive, The (1993)",31000000,"Drama, Adventure","Hong Kong, China","Beijing New Picture Film Co. Ltd., China Film Co-Production Corp., Elite Group Enterprises, Edko Films, Sil-Metropole Organisation, Zhang Yimou Studio","During China's Warring States period, a district prefect arrives at the palace of Qin Shi Huang, claiming to have killed the three assassins who had made an attempt on the king's life three years ago.",/1NBtOH3KPU9UUp1vzVHJ8qzdW88.jpg
80,Hot Shots! Part Deux (1993),2700000,"Drama, Romance",United States of America,"Warner Independent Pictures, Castle Rock Entertainment, Detour Filmproduction","Nine years later, Jesse travels across Europe giving readings from a book he wrote about the night he spent in Vienna with Celine. After his reading in Paris, Celine finds him, and they spend part of the day together before Jesse has to again leave for a flight. They are both in relationships now, and Jesse has a son, but as their strong feelings for each other start to return, both confess a longing for more.",/gycdE1ARByGQcK4fYR2mgpU6OO.jpg
81,"Hudsucker Proxy, The (1994)",1000000,"Adventure, Animation",Japan,Topcraft,"After a global war, the seaside kingdom known as the Valley of the Wind remains one of the last strongholds on Earth untouched by a poisonous jungle and the powerful insects that guard it. Led by the courageous Princess Nausicaä, the people of the Valley engage in an epic struggle to restore the bond between humanity and Earth.",/tcrkfB8SRPQCgwI88hQScua6nxh.jpg
82,Jurassic Park (1993),135000000,"Action, Crime","Germany, United States of America","Universal Pictures, Forward Pass, Motion Picture ETA Produktionsgesellschaft","A case involving drug lords and murder in South Florida takes a personal turn for undercover detectives Sonny Crockett and Ricardo Tubbs. Unorthodox Crockett gets involved romantically with the Chinese-Cuban wife of a trafficker of arms and drugs, while Tubbs deals with an assault on those he loves.",/1KGD2g0wOc7WBfHc5G19reLHQxk.jpg
83,Much Ado About Nothing (1993),130000,"Drama, Thriller",United States of America,"Plunge Pictures LLC, Lions Gate Films","Two divers are left out at sea without a boat. There’s nothing but water for miles, unless they look at what’s underneath them...",/pjLh97W1J8AdcuKWzqqdKHfYmp5.jpg
84,Robert A. Heinlein's The Puppet Masters (1994),0,Unknown,Unknown,Unknown,Unknown,Unknown
85,"Ref, The (1994)",18000000,"Adventure, Action",United States of America,"Paramount Pictures, Lucasfilm Ltd.","When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",/ceG9VzoRAVGwivFU403Wc3AHRys.jpg
86,"Remains of the Day, The (1993)",6000000,"Drama, Romance",Germany,"Moovie, Medienfonds German Film Productions GmbH & Co. KG, Constantin Film, ARD, Bernd Eichinger Productions, Momentum Pictures","Based on Michel Houellebecq's controversial novel, Atomised (aka The Elementary Particles) focuses on Michael and Bruno, two very different half-brothers and their disturbed sexuality.  After a chaotic childhood with a hippie mother only caring for her affairs, Michael, a molecular biologist, is more interested in genes than women, while Bruno is obsessed with his sexual desires, but mostly finds his satisfaction with prostitutes.  But Bruno's life changes when he gets to know the experienced Christiane.  In the meantime, Michael meets Annabelle, the love of his youth, again.",/wpGpR7GewyApPgqPvuWadBAfmFc.jpg
87,Searching for Bobby Fischer (1993),28000000,"Adventure, Action",United States of America,"Paramount Pictures, Lucasfilm Ltd.","After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees – and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace.",/t7Pv44sBcxhc47kNNDDafNAgr7Y.jpg
88,Sleepless in Seattle (1993),6000000,"Drama, Music",United States of America,"Great American Films Limited Partnership, Vestron Pictures","Expecting the usual tedium that accompanies a summer in the Catskills with her family, 17-year-old Frances 'Baby' Houseman is surprised to find herself stepping into the shoes of a professional hoofer—and unexpectedly falling in love.",/9Jw6jys7q9gjzVX5zm1z0gC8gY9.jpg
89,Blade Runner (1982),48000000,"Adventure, Action",United States of America,"Paramount Pictures, Lucasfilm Ltd.","In 1938, an art collector appeals to eminent archaeologist Dr. Indiana Jones to embark on a search for the Holy Grail. Indy learns that a medieval historian has vanished while searching for it, and the missing man is his own father, Dr. Henry Jones Sr.. He sets out to rescue his father by following clues in the old man's notebook, which his father had mailed to him before he went missing. Indy arrives in Venice, where he enlists the help of a beautiful academic, Dr. Elsa Schneider, along with Marcus Brody and Sallah. Together they must stop the Nazis from recovering the power of eternal life and taking over the world!",/sizg1AU8f8JDZX4QIgE4pjUMBvx.jpg
90,So I Married an Axe Murderer (1993),14000000,"Comedy, Crime",United States of America,"Paramount Pictures, Eddie Murphy Productions, Don Simpson/Jerry Bruckheimer Films","Fast-talking, quick-thinking Detroit street cop Axel Foley has bent more than a few rules and regs in his time, but when his best friend is murdered, he heads to sunny Beverly Hills to work the case like only he can.",/eBJEvKkhQ0tUt1dBAcTEYW6kCle.jpg
91,"Nightmare Before Christmas, The (1993)",0,Documentary,"France, Spain",Ramón Acín,"An exploration —manipulated and staged— of life in Las Hurdes, in the province of Cáceres, in Extremadura, Spain, as it was in 1932. Insalubrity, misery and lack of opportunities provoke the emigration of young people and the solitude of those who remain in the desolation of one of the poorest and least developed Spanish regions at that time. (Silent short, voiced in 1937 and 1996.)",/iQM715v277SIw66Y1bJ1KiK5WNx.jpg
92,True Romance (1993),0,Documentary,"Austria, Switzerland","Lotus-Film, Fama Film AG",Megacities is a documentary about the slums of five different metropolitan cities.,/qO48XLCG58cICOgAR57ao0PrJ6A.jpg
93,Welcome to the Dollhouse (1995),2000000,"Crime, Drama",United States of America,"Columbia Pictures, Otto Preminger Films","Semi-retired Michigan lawyer Paul Biegler takes the case of Army Lt. Manion, who murdered a local innkeeper after his wife claimed that he raped her. Over the course of an extensive trial, Biegler parries with District Attorney Lodwick and out-of-town prosecutor Claude Dancer to set his client free, but his case rests on the victim's mysterious business partner, who's hiding a dark secret.",/zMxLbSPpToTCc6yK2Gddhx6nHNN.jpg
94,Home Alone (1990),0,Comedy,Germany,Hamburger Filmschule,Kunstgriff is a brilliantly filmed black and white short film. Andre F. Nebe gives proof of his storytelling abilities in this 6 minute film.,/82CFTXepfmETr2C4n7ZlrpLyjAx.jpg
95,Aladdin (1992),140000000,"Action, Thriller",United States of America,"Touchstone Pictures, Jerry Bruckheimer Films, Valhalla Motion Pictures","When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter, until the mission proves otherwise.",/eTM3qtGhDU8cvjpoa6KEt5E2auU.jpg
96,Terminator 2: Judgment Day (1991),28000000,"Action, Comedy",United States of America,"Eddie Murphy Productions, Paramount Pictures, Don Simpson/Jerry Bruckheimer Films","Axel Foley returns to the land of sunshine and palm trees to investigate the near-fatal shooting of police Captain Andrew Bogomil. With the help of Sgt. Taggart and Det. Rosewood, they soon uncover that the shooting is associated with a series of ""alphabet"" robberies masterminded by a heartless weapons kingpin—and the chase is on.",/egDakU8O5yUwpUJP9IMAUVtIDll.jpg
97,Dances with Wolves (1990),17000000,"Science Fiction, Action",United States of America,"Lisberger/Kushner Productions, Walt Disney Productions","When brilliant video game maker Flynn hacks the mainframe of his ex-employer, he is beamed inside an astonishing digital world...and becomes part of the very game he is designing. In his mission through cyberspace, Flynn matches wits with a maniacal Master Control Program and teams up with Tron, a security measure created to bring balance to the digital environment.",/zwSFEczP7AzqugAHHIX3zHniT0t.jpg
98,"Silence of the Lambs, The (1991)",103000000,"Action, Drama","United Kingdom, United States of America","Universal Pictures, Scott Free Productions, Red Wagon Entertainment, Mill Film, DreamWorks Pictures","After the death of Emperor Marcus Aurelius, his devious son takes power and demotes Maximus, one of Rome's most capable generals who Marcus preferred. Eventually, Maximus is forced to become a gladiator and battle to the death against other men for the amusement of paying audiences.",/ty8TGRuvJLPUmAR1H1nRIsgwvim.jpg
99,Snow White and the Seven Dwarfs (1937),8272296,"Comedy, Drama","Spain, France","Renn Productions, France 2 Cinéma, El Deseo","Following the tragic death of her teenage son, Manuela travels from Madrid to Barcelona in an attempt to contact the long-estranged father the boy never knew. She reunites with an old friend, an outspoken transgender sex worker, and befriends a troubled actress and a pregnant, HIV-positive nun.",/hjQhzhkGYXPNM96k0mOgob6HMmn.jpg
